language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,dbmeter,run,scalar,double,O3,48000,64,8,8,50,101244,233,0.1199587529999999,1184.8480206234444,1184.1528491620113,1186.2153708668454,2.062521704834353,0.1740747900940994,18.51325032224132,2.314156290280165,54015366.431826785,54047076.8155402,53953102.92871268,432122931.4546142,432376614.5243216,431624823.42970145,0.0
cpp,dbmeter,run,scalar,single,O3,48000,64,8,8,50,107134,200,0.0973778339999999,908.93492262027,898.5271415689812,911.3245414847162,12.797399915735127,1.407955574953913,14.202108165941718,1.7752635207427148,70412081.66532026,71227675.86991878,70227451.45843671,563296653.3225621,569821406.9593502,561819611.6674937,0.0
cpp,dbmeter,run,vec,double,O3,48000,64,8,8,50,98381,229,0.116145502,1180.568422764558,1178.3890724829257,1182.85055957867,4.46148709574436,0.3779100821023838,18.44638160569622,2.3057977007120276,54211173.842961214,54311433.71445964,54106581.32739669,433689390.7436898,434491469.71567714,432852650.6191735,0.0
cpp,dbmeter,run,vec,single,O3,48000,64,8,8,50,111359,198,0.095413083,856.8062123402688,854.9621547903171,858.9820757937863,4.019921003469221,0.4691750533051415,13.3875970678167,1.6734496334770876,74696003.69165304,74857114.60023193,74506793.33542266,597568029.5332243,598856916.8018554,596054346.6833813,0.0
mojo,dbmeter,run,scalar,double,O3,48000,64,8,8,50,97545,217,0.1071549999996932,1098.518632422915,1097.916666594756,1101.62866534286,3.711998748104179,0.3379094936165915,17.164353631608048,2.145544203951006,58260277.16875434,58292220.117669985,58095801.25629834,466082217.3500347,466337760.9413599,464766410.0503867,0.0
mojo,dbmeter,run,scalar,single,O3,48000,64,8,8,50,122398,197,0.095567000000301,780.7889017819004,780.2112456834435,782.2780879155331,2.0668422320895843,0.2647120402675652,12.199826590342196,1.5249783237927743,81968378.20560783,82029066.29977855,81812338.84555697,655747025.6448627,656232530.3982284,654498710.7644558,0.0
mojo,dbmeter,run,vec,double,O3,48000,64,8,8,50,102246,334,0.1858009999996284,1817.195782716472,1804.292929187391,1827.4460769051448,23.153147717753654,1.2741141014064374,28.39368410494487,3.5492105131181093,35219100.00491433,35470958.71446108,35021553.198651224,281752800.0393146,283767669.71568865,280172425.5892098,0.0
mojo,dbmeter,run,vec,single,O3,48000,64,8,8,50,99081,217,0.109429000000091,1104.439801779262,1103.7283899973793,1105.5045870671468,1.776197069767477,0.1608233483532564,17.256871902800967,2.157108987850121,57947929.70779889,57985280.23742504,57892116.18722368,463583437.6623911,463882241.8994003,463136929.49778944,0.0
cpp,delays,run,scalar,double,O3,48000,64,3,3,50,1000000,1000,0.067042413,67.042413,65.2958,69.4042,4.108400000000003,6.128061052933765,1.047537703125,0.3491792343749999,954619577.9080915,980154925.7379496,922134395.3247784,2863858733.724275,2940464777.2138486,2766403185.9743357,198.23999890312552
cpp,delays,run,scalar,single,O3,48000,64,3,3,50,500000,508,0.0996002049999999,199.20041,195.80840000000003,201.1792,5.370799999999974,2.6961791895910125,3.11250640625,1.0375021354166667,321284479.2839533,326850124.91803205,318124338.8978582,963853437.85186,980550374.754096,954373016.6935748,198.24243581667545
cpp,delays,run,vec,double,O3,48000,64,3,3,50,920000,926,0.099269459,107.90158586956522,102.2875,108.6666,6.379100000000008,5.911961301209476,1.6859622792119566,0.5619874264039855,593133080.3364204,625687400.7087865,588957416.5382923,1779399241.0092614,1877062202.1263597,1766872249.6148767,198.23999890312552
cpp,delays,run,vec,single,O3,48000,64,3,3,50,820000,823,0.099462337,121.29553292682928,113.9917,122.8625,8.870800000000003,7.313377323921117,1.8952427019817073,0.6317475673272358,527636908.430977,561444385.8631814,520907518.56750435,1582910725.2929308,1684333157.589544,1562722555.702513,198.24243581667545
mojo,delays,run,scalar,double,O3,48000,64,3,3,50,1000000,1000,0.0643579999996291,64.35799999962911,63.500000032945536,66.1000000036438,2.5999999706982635,4.039901753804107,1.005593749994205,0.335197916664735,994437365.989758,1007874015.2251188,968229954.5608468,2983312097.9692736,3023622045.675357,2904689863.68254,198.23999890312552
mojo,delays,run,scalar,single,O3,48000,64,3,3,50,1000000,1000,0.0631709999997838,63.170999999783824,62.400000024354085,63.79999995260732,1.3999999282532372,2.216206690186997,0.9870468749966222,0.3290156249988741,1013123110.2914156,1025641025.2407284,1003134796.9834052,3039369330.874247,3076923075.722185,3009404390.9502153,198.24243581667545
mojo,delays,run,vec,double,O3,48000,64,3,3,50,320000,329,0.0984189999999216,307.5593749997551,306.300000011106,308.80000012984965,2.5000001187436283,0.8128512157191172,4.8056152343711735,1.6018717447903912,208089901.34035403,208945478.2816828,207253885.92321295,624269704.0210621,626836434.8450484,621761657.7696388,198.23999890312552
